"","site.animal.healthSH","site.animal.healthSH.1","site.animal.healthSH.2","site.animal.healthSH.3","site.animal.healthSH.4","site.animal.healthSH.5"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae",-2.03696338727256,0.380211458589687,-5.35744870717007,0,0,TRUE
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae",1.74236343886242,0.376052900816365,4.63329344110885,3.59893836654108e-06,2.44452472751158e-05,TRUE
"k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales;f__Xenococcaceae",-2.13499167941756,0.426598039809205,-5.00469172425739,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Hyphomonadaceae",0.815190678248899,0.624144985970265,1.30609184816512,0.191521324812978,0.328322271107963,FALSE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;__",3.18775132076732,0.606863465921071,5.25283115524031,1.49778832250585e-07,1.80516295951777e-06,TRUE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae",3.49288534259332,0.629832695864745,5.54573518575067,2.9272157542122e-08,8.19620411179416e-07,TRUE
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]",-1.70392678594242,0.397900994933016,-4.28228832709821,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae",-0.0467882079810533,0.379723517105542,-0.123216513787975,0,0,TRUE
"k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales;f__Synechococcaceae",1.76135733496635,0.503806527336706,3.49609867954171,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__GMD14H09;f__",-0.144231060759911,0.403414271092621,-0.357525925816335,0,0,TRUE
"k__Bacteria;p__Spirochaetes;c__[Brachyspirae];o__[Brachyspirales];f__Brachyspiraceae",-0.23280347801114,0.417530954376066,-0.557571781376133,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae",-1.4003477847032,0.435785263281286,-3.2133894894911,0,0,TRUE
"k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales;f__Pseudanabaenaceae",-1.76281339211346,0.371712165860684,-4.7424151104437,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__",2.38611121698634,0.550550940050445,4.33404258063333,1.46395839571244e-05,8.19816701598965e-05,TRUE
"k__Bacteria;p__GN02;c__;o__;f__",0.65365390568369,0.572359167117931,1.14203448330375,0.253439686429077,0.409402570385432,FALSE
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Acidaminobacteraceae]",0.668227445362487,0.42144027753684,1.58558040362925,0,0,TRUE
"k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Simkaniaceae",0.328984516957931,0.58726490411673,0.560197816439817,0.57534451624474,0.702601358441917,FALSE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae",0.995261050042656,0.583148494656932,1.70670259661421,0.0878773443492559,0.180141141830866,FALSE
