"","site.animal.healthSS","site.animal.healthSS.1","site.animal.healthSS.2","site.animal.healthSS.3","site.animal.healthSS.4","site.animal.healthSS.5"
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae",-2.25298868755103,0.674140777371823,-3.34201514457328,0.00083172522596792,0.00781821712409844,TRUE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Hyphomonadaceae",-1.06045169421096,0.668008916330085,-1.58748134686117,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;__",-0.130163827273631,0.912286947635286,-0.142678603054691,0.886544016093888,0.905816712095929,FALSE
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__",2.80347100340362,0.699142735190513,4.00986931894486,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae",-1.78901090972319,0.868240183984181,-2.06050231574606,0.0393505446993013,0.123298373391144,FALSE
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]",0.0987438780131275,0.470257295298487,0.209978407566121,0.833684525617199,0.887150631350508,FALSE
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae",2.23851047245569,0.715873229919866,3.12696491347535,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Sva0853;f__JTB36",2.14715896382684,0.713101933433023,3.01101268017879,0,0,TRUE
"k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales;f__Synechococcaceae",-1.05803483092211,0.675369226338322,-1.56660207433274,0,0,TRUE
"k__Bacteria;p__Spirochaetes;c__[Brachyspirae];o__[Brachyspirales];f__Brachyspiraceae",-0.120929124958379,0.474457105909277,-0.254878941535975,0.798816601451538,0.873125122516797,FALSE
"k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae",1.32851788564665,0.578174215189648,2.29778127551206,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__",-0.99585205168074,0.74602775060969,-1.334872665081,0.181918025638474,0.30503736167463,FALSE
"k__Bacteria;p__GN02;c__;o__;f__",-1.05216779864122,0.597054253397849,-1.76226497450325,0,0,TRUE
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae",1.57615745689023,0.713425984862778,2.20927957536252,0,0,TRUE
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Acidaminobacteraceae]",2.38079560538677,0.773197365947238,3.07915638392026,0.0020758768351865,0.0139380301791093,TRUE
"k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Simkaniaceae",-1.24466364117511,0.631328656059479,-1.97149872610542,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae",-0.482193551478925,0.755702268023493,-0.638073447549763,0.523425870091973,0.664892321468183,FALSE
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae",-0.442708881491321,0.486409402189322,-0.91015691616711,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae",0.278950792882535,0.391826374763389,0.711924492196281,0.476511534683922,0.630874426201249,FALSE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Endozoicimonaceae",1.09454777791237,0.601797509441301,1.81879745386207,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae",2.05413487543719,0.635864166256872,3.23046176281519,0,0,TRUE
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae",1.06294823162538,0.583198963983549,1.82261680364604,0,0,TRUE
"k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles;f__",-0.113798972339719,0.666297986391471,-0.170792910475432,0.864386603789015,0.892882865452389,FALSE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae",0.162695356807946,0.404299949053857,0.402412508803638,0.687380465677008,0.802343953734267,FALSE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__",1.15560645945608,0.642165294807339,1.79954673477454,0.0719322381504141,0.164917814296071,FALSE
"k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__",-1.05606556378878,0.578415051596933,-1.82579198254457,0,0,TRUE
